S001,Alice,password001,MATH101,CS101,
S002,Bob,password002,MATH101,CS101,CS102
S003,Charlie,password003,MATH101,CS101,
S004,David,password004,MATH101,CS101,CS102
S005,Eve,password005,MATH101,CS101,CS102
S006,Frank,password006,MATH101,CS101,
S007,Grace,password007,MATH101,CS101,CS102
S008,Heidi,password008,MATH101,CS101,
S009,Ivan,password009,MATH101,CS101,CS102
S010,Judy,password010,MATH101,CS101,
S011,Mallory,password011,MATH101,CS101,
S012,Niaj,password012,MATH101,CS101,
S013,Olivia,password013,MATH101,CS101,
S014,Peggy,password014,MATH101,CS101,
S015,Quentin,password015,MATH101,CS101,
S016,Rupert,password016,MATH101,CS101,
S017,Sybil,password017,MATH101,CS101,
S018,Trent,password018,MATH101,CS101,CS102
S019,Uma,password019,MATH101,CS101,
S020,Victor,password020,MATH101,CS101,
S021,Wendy,password021,MATH101,CS101,
S022,Xander,password022,MATH101,CS101,CS102
S023,Yvonne,password023,MATH101,CS101,
S024,Zach,password024,MATH101,CS101,CS102
S025,Alan,password025,MATH101,CS101,
S026,Betty,password026,MATH101,CS101,
S027,Carl,password027,MATH101,CS101,CS102
S028,Diana,password028,MATH101,CS101,
S029,Ed,password029,MATH101,CS101,
S030,Fay,password030,MATH101,CS101,
